Term / Paper,Question,Topic,Subtopic,Marks
June 2023,Draw the state transition table for the finite automaton and find its regular expression.,Formal Languages and Finite Automata,Finite automata and regular expressions,5
June 2023,Write short notes on undecidable problem and halting problem.,Turing Machines and Computability,Undecidable and halting problems,10
June 2023,Arrange five married couples around a round table with alternating genders.,"Counting, Probability and Combinatorics",Circular permutations,5
June 2023,Use pigeonhole principle to prove existence of two disjoint subsets with equal sum.,Pigeonhole and Inclusion-Exclusion Principles,Pigeonhole Principle,5
June 2023,Explain surjective functions and application of Inclusion-Exclusion.,Pigeonhole and Inclusion-Exclusion Principles,Inclusion-Exclusion Principle,5
June 2023,Solve the given recurrence relation.,Recurrence Relations and Algorithms,Recurrence relations,5
June 2023,Write notes on isomorphic graphs and conditions of isomorphism.,Graph Theory,Isomorphism,4
June 2023,Write notes on subgraph and spanning subgraph.,Graph Theory,Subgraphs and spanning trees,4
June 2023,Write notes on paths and circuits in a graph.,Graph Theory,"Paths, circuits and cycles",4
June 2023,Write notes on Eulerian graph and Eulerian circuit.,Graph Theory,Eulerian graphs,4
June 2023,Write notes on Hamiltonian graph and Dirac's criterion.,Graph Theory,Hamiltonian graphs and criteria,4
June 2023,Write notes on map colouring problem.,Graph Theory,Graph coloring,4
December 2023,Apply precedence rules and write truth table.,Logic and Mathematical Reasoning,Truth tables,4
December 2023,Show the given proposition is a tautology without using a truth table.,Logic and Mathematical Reasoning,Tautology and contradiction,4
December 2023,Define dynamic programming and its four major steps.,Recurrence Relations and Algorithms,Dynamic programming,4
December 2023,Explain Conjunctive Normal Form with an example.,Logic and Mathematical Reasoning,DNF and CNF,4
December 2023,Find inverse of the given function.,"Sets, Relations and Functions",Inverse functions,4
December 2023,Find Kleene closure for the given alphabets.,Formal Languages and Finite Automata,Kleene closure,4
December 2023,Define a Turing machine and explain its six-tuple components.,Turing Machines and Computability,Turing machines,4
December 2023,Calculate probabilities for mutually exclusive events A and B.,"Counting, Probability and Combinatorics",Probability,4
December 2023,State Pigeonhole and Inclusion-Exclusion principles.,Pigeonhole and Inclusion-Exclusion Principles,Pigeonhole and Inclusion-Exclusion principles,4
December 2023,State and prove Handshaking theorem.,Graph Theory,Handshaking theorem,4
December 2023,Express a compound proposition and prove it is a tautology using logical equivalence.,Logic and Mathematical Reasoning,Logical equivalence,7
December 2023,Write Floyd-Warshall algorithm and apply it to find shortest paths.,Recurrence Relations and Algorithms,Floyd-Warshall algorithm,8
December 2023,"Realize AND, OR and NOT using switches and give truth tables.",Boolean Algebra and Logic Circuits,Switching circuits,5
December 2023,Prove that the power set of an n-element set has 2^n elements.,"Sets, Relations and Functions",Power sets,5
December 2023,Compare Moore and Mealy machines.,Formal Languages and Finite Automata,Mealy and Moore machines,5
December 2023,Explain Turing machine components with a block diagram.,Turing Machines and Computability,Turing machines,10
December 2023,Select captain and vice-captain from the same team across three teams.,"Counting, Probability and Combinatorics",Counting principles,5
December 2023,Use pigeonhole principle in an equilateral-triangle distance argument.,Pigeonhole and Inclusion-Exclusion Principles,Pigeonhole Principle,5
December 2023,Apply Inclusion-Exclusion to count derangements.,Pigeonhole and Inclusion-Exclusion Principles,Inclusion-Exclusion Principle,5
December 2023,Show the recurrence relation gives the comparison count for sorting n integers.,Recurrence Relations and Algorithms,Recurrence relations,5
December 2023,Explain bipartite graph and applications.,Graph Theory,Bipartite graphs,4
December 2023,Explain circuits and cycles in a graph.,Graph Theory,"Paths, circuits and cycles",4
December 2023,Explain edge connectivity and edge traceability.,Graph Theory,Connectivity,4
December 2023,Explain Hamiltonian graph and Ore's criterion.,Graph Theory,Hamiltonian graphs and criteria,4
December 2023,Explain travelling salesman problem.,Graph Theory,Travelling salesman problem,4
December 2023,Explain planar graphs.,Graph Theory,Planar graphs,4
June 2023,Verify that one expression is a contradiction and another is a tautology.,Logic and Mathematical Reasoning,Tautology and contradiction,5
June 2023,Reduce the given Boolean expression to simplest form.,Boolean Algebra and Logic Circuits,Boolean algebra,5
June 2023,Find the inverse of f(x)=x^3−3.,"Sets, Relations and Functions",Inverse functions,5
June 2023,"Define Kleene closure and find it for {0,1}.",Formal Languages and Finite Automata,Kleene closure,5
June 2023,Use multiplication principle to choose President and Vice President from 35 members.,"Counting, Probability and Combinatorics",Multiplication principle,5
June 2023,Discuss Inclusion-Exclusion principle with an example.,Pigeonhole and Inclusion-Exclusion Principles,Inclusion-Exclusion Principle,5
June 2023,Explain Eulerian graph with a diagram.,Graph Theory,Eulerian graphs,5
June 2023,Define tautology and prove the given expression is one.,Logic and Mathematical Reasoning,Tautology and contradiction,5
June 2023,Use induction to prove the given recurrence expression.,Recurrence Relations and Algorithms,Mathematical induction,5
June 2023,Find the number of ways to divide 20 employees into 3 groups.,"Counting, Probability and Combinatorics",Combinations,5
June 2023,Explain isomorphic graphs with an example.,Graph Theory,Isomorphism,5
June 2023,Show that C6 is bipartite.,Graph Theory,Bipartite graphs,5
June 2023,Check logical equivalence of two propositions.,Logic and Mathematical Reasoning,Logical equivalence,5
June 2023,Find or construct a graph with chromatic number 5.,Graph Theory,Graph coloring,5
June 2023,Write short notes on Hamiltonian graph and Vertex Cover Problem.,Graph Theory,Hamiltonian graphs,5
June 2023,Show the number of words of length n over an alphabet of m letters is m^n.,"Counting, Probability and Combinatorics",Multiplication principle,5
June 2023,Construct the logic circuit and truth table for the expression.,Boolean Algebra and Logic Circuits,Logic circuits and truth tables,10
June 2023,Design Boolean circuits for AND and OR gates using switches.,Boolean Algebra and Logic Circuits,Switching circuits,5
June 2023,Discuss finite automata and regular expressions with examples.,Formal Languages and Finite Automata,Finite automata and regular expressions,5
June 2023,Differentiate Turing Acceptable and Turing Decidable languages.,Turing Machines and Computability,Turing acceptable and decidable languages,5
June 2023,Determine recurrence and iterative relations for comparison count in sorting.,Recurrence Relations and Algorithms,Recurrence relations,10
December 2022,Differentiate predicate and proposition and give De Morgan laws.,Logic and Mathematical Reasoning,Predicate logic,5
December 2022,Use De Morgan law to derive AND gate from NOR gate.,Boolean Algebra and Logic Circuits,De Morgan's laws,5
December 2022,State conditions for a relation to be an equivalence relation.,"Sets, Relations and Functions",Equivalence relations,5
December 2022,Prove S*=(S*)*=S** for a set of strings.,Formal Languages and Finite Automata,Kleene closure,5
December 2022,Discuss nondeterministic Turing machine.,Turing Machines and Computability,Turing machines,5
December 2022,Use addition principle to select President and Vice President from parties.,"Counting, Probability and Combinatorics",Addition principle,5
December 2022,Find the power set of the given sets.,"Sets, Relations and Functions",Power sets,5
December 2022,Discuss Pigeonhole principle with example.,Pigeonhole and Inclusion-Exclusion Principles,Pigeonhole Principle,5
December 2022,Verify the given identity using induction.,Logic and Mathematical Reasoning,Mathematical induction,5
December 2022,"Define Stirling number of the second kind and calculate S(3,2) and S(5,2).","Counting, Probability and Combinatorics",Stirling numbers,4
December 2022,Explain Handshaking theorem with example.,Graph Theory,Handshaking theorem,5
December 2022,Verify De Morgan's law for propositions.,Logic and Mathematical Reasoning,Logical equivalence,5
December 2022,Count three-letter words and impose ending/middle constraints.,"Counting, Probability and Combinatorics",Permutations and combinations,7
December 2022,Define regular expression and construct expressions for given languages.,Formal Languages and Finite Automata,Regular expressions,8
December 2022,Differentiate DFA and NFA; compare Moore and Mealy machines.,Formal Languages and Finite Automata,DFA and NFA,10
December 2022,Briefly discuss the Halting problem.,Turing Machines and Computability,Halting problem,5
December 2022,Count ordered draws of 8 balls from a box with repeated colors.,"Counting, Probability and Combinatorics",Permutations and combinations,5
December 2022,Determine recurrence and iterative relation for the power set of S.,Recurrence Relations and Algorithms,Recurrence relations,10
December 2022,"Write notes on path, circuits, cycles, degree and regularity of graph.",Graph Theory,Graph terminology,10
June 2022,Write mathematical notation for sets of odd numbers and natural numbers whose square exceeds 26.,"Sets, Relations and Functions",Set notation,4
June 2022,Test logical equivalence by constructing a truth table.,Logic and Mathematical Reasoning,Logical equivalence,5
June 2022,Prove 1+2+...+n=n(n+1)/2 by mathematical induction.,Logic and Mathematical Reasoning,Mathematical induction,5
June 2022,Define regular expression with an example.,Formal Languages and Finite Automata,Regular expressions,5
June 2022,Find permutations of all letters of ASSESSES.,"Counting, Probability and Combinatorics",Permutations and combinations,3
June 2022,Find probabilities for specified outcomes of a die.,"Counting, Probability and Combinatorics",Probability,4
June 2022,Define Tower of Hanoi and explain its recurrence relation.,Recurrence Relations and Algorithms,Tower of Hanoi,6
June 2022,Draw the hypercube graph Q3.,Graph Theory,Graph terminology,3
June 2022,Determine whether two given graphs are isomorphic.,Graph Theory,Isomorphism,5
June 2022,Define degree and order of a recurrence relation and determine them for given relations.,Recurrence Relations and Algorithms,Degree and order,6
June 2022,"Define finite automata, explain its need and representation with example.",Formal Languages and Finite Automata,Finite automata,8
June 2022,Explain divide-and-conquer and apply it to binary search.,Recurrence Relations and Algorithms,Divide-and-conquer,6
June 2022,Define proposition and explain disjunction and conjunction with truth tables.,Logic and Mathematical Reasoning,Propositions and logical connectives,6
June 2022,Prove by direct proof that the square of an even integer is even.,Logic and Mathematical Reasoning,Direct proof,6
June 2022,Draw the Boolean circuit for the given expression.,Boolean Algebra and Logic Circuits,Logic circuits and truth tables,8
June 2022,Show intersection and difference of two sets using Venn diagrams.,"Sets, Relations and Functions",Set operations,4
June 2022,"Define domain, codomain and range and find them for the given function.","Sets, Relations and Functions","Domain, codomain and range",6
June 2022,Count committees with 2 male and 2 female workers.,"Counting, Probability and Combinatorics",Combinations,4
June 2022,Use pigeonhole principle to prove five people share the same weekday of birth.,Pigeonhole and Inclusion-Exclusion Principles,Generalized Pigeonhole Principle,3
June 2022,Find the number of four-digit even numbers.,"Counting, Probability and Combinatorics",Counting principles,3
June 2022,"Define complete graph, star topology and degree of a vertex.",Graph Theory,Graph terminology,6
June 2022,Find the complement of the given graph.,Graph Theory,Graph operations,5
June 2022,Define bipartite graph with an example.,Graph Theory,Bipartite graphs,4
June 2022,Differentiate Eulerian graph and Eulerian circuit and find an Eulerian circuit.,Graph Theory,Eulerian graphs,5
